"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	1975	9	6	9	20	10.9			"TURKEY:  LICE"	38.474	40.723	26	6.7	9	2311	4			3372	4	17	3					2311	4			3372	4						
	1976	3	25	11	55	39.4			"TURKEY"	41.13	43.01	18	4.8		2	1			6	1		2					2	1			6	1		2				
	1976	4	29	22	18	9.1			"TURKEY"	40.89	42.85	44	5.5		4	1						2		3			4	1						2		3		
	1976	8	19	1	12	36.7			"TURKEY:  DENIZLI"	37.7	28.89	3	4.9	4	4	1			50	1		2			1800	4	4	1			50	1		2			1800	4
	1976	11	24	12	22	17.6			"TURKEY:  MURADIYE"	39.058	44.03	36	7	10	5000	4				3	60	4					5000	4				3	60	4				
	1976	12	27			0			"IRAN:  SADAL,DALAK DASHI,AB-E-GARM,SIAH CHESHMEH"	39	44				1	1						2					1	1						2				
	1977	3	25	2	39	58.2			"TURKEY"	38.56	40.02	21	4.9		30	1						3					30	1						3				
	1977	5	28						"IRAN:  SIAH CHESHMEH,MUKHUR,ZOLUL,DALIK DASHI"	39	44				6	1						3					6	1						3				
	1978	2	15	3	17	37.3			"TURKEY"	39.69	39.79	33	4.5						20	1		2	525	3														
	1979	7	18	13	12	2.5			"TURKEY:  DURSUNBEY, ANATOLIA"	39.672	28.66	10	4.9									2	200	3										2	200	3		
	1983	7	5	12	1	27.3			"TURKEY:  NW, BIGA, ERDEK, ISTANBUL"	40.324	27.222	10	6.1	8	5	1			26	1		2					5	1			26	1		2				
	1983	10	30	4	12	27.1			"TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN"	40.33	42.187	12	6.9		1342	4			1142	4	25	4		4			1342	4			1142	4	25	4		4		
	1984	9	18	13	26	1.8			"TURKEY:  E, ERZURUM, OLUR-SENKAYA"	40.885	42.219	10	6.4	8	3	1			38	1		2	75000	4			3	1			38	1		3	75000	4		
	1984	10	18	9	46	24.6			"TURKEY:  E, SENKAYA"	40.545	42.403	60	5.3		3	1			35	1		3	75000	4			3	1			35	1		3	75000	4		
	1985	11	7	8	26	21.4			"TURKEY:  ERZURUM, KARS, AGRI, ARTVIN"	40.31	42.307	33	4.2						14	1		2	113	3							14	1		2	113	3		
	1986	5	5	3	35	38.8			"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE"	37.993	37.806	10	5.9		15	1			100	2	5	2	4000	4			15	1			100	2	5	2	4000	4		
	1986	8	3	1	33	20.3			"TURKEY:  YESILCE,  UCGOZE, SAM"	37.2	37.3	12	4.1									1	73	2										1	73	2		
	1986	10	11	9	0	10.5			"TURKEY:  AYDIN, DENIZLI-IZMIR-MANISA"	37.931	28.574	5	5.5						3	1		1	50	1							3	1		2	50	1		
	1989	3	10	8	0	48.7			"TURKEY:  ERZURUM, KARS"	40.027	41.816	10	4.4									2																
	1990	7	18	11	29	24.9			"TURKEY:  CAMELI, DENIZLI"	36.99	29.595	17	5.1									2			393	3								2			393	3
	1991	4	24	10	54	35.7			"TURKEY:  ERZURUM PROVINCE"	39.597	41.118	33	4.5		1	1			3	1		1				2	1	1			3	1		1				2
	1991	6	16	11	7	10.6			"TURKEY:  KAGIZMAN"	39.984	42.875	26	4.5									2																
	1992	3	13	17	18	39.9			"TURKEY:  ERZINCAN"	39.71	39.605	27	6.9	8	653	3			2000	4	750	4			8057	4	653	3			2000	4	750	4			8057	4
	1995	10	1	15	57	16.2			"TURKEY:   DINAR, EVCILER"	38.063	30.134	33	6.4	8	95	2			348	3	205.8	4	5100	4			95	2			348	3	205.8	4	5100	4		
	1998	6	27	13	55	52			"TURKEY:  ADANA, CEYHAN"	36.878	35.307	33	6.3	8	145	3			1500	4	550	4	1700	4			145	3			1500	4	550	4	1700	4		
	1999	8	17	0	1	39.1	2326		"TURKEY:  ISTANBUL, KOCAELI, SAKARYA"	40.76	29.97	13	7.6	10	17118	4			50000	4	20000	4			73342	4	17118	4			50000	4	20000	4			73342	4
	1999	8	31	8	10	49.5			"TURKEY:  IZMIT"	40.711	29.949	10	5.2		1	1			166	3		1					1	1			166	3		1				
	1999	9	13	11	55	28.1			"TURKEY:  ADAPAZARI-GOLUCK-KOCAELI"	40.709	30.045	13	5.8		7	1			422	3		1					7	1			422	3		1				
	1999	11	11	14	41	25.6			"TURKEY:  ADAPAZARI, KOCEALI, GOLCUK"	40.744	30.266	22	5.7		2	1			171	3							2	1			171	3						
	1999	11	12	16	57	19.5			"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK"	40.758	31.161	10	7.2	9	894	3			4948	4	1000	4					894	3			4948	4	1000	4				
	1999	12	3	17	6	54.7			"TURKEY:  GORESKEN, ERZURUM PROVINCE"	40.358	42.346	19	5.7		1	1			6	1		2			340	3	1	1			6	1		2			340	3
	2000	5	7	23	10	54.1			"TURKEY:  DOGANYOL, PUTURGE"	38.164	38.777	5	4.1									2									1	1		2			200	3
	2000	6	6	2	41	49.8			"TURKEY:  CERKES, CUBUK, ORTA"	40.693	32.992	10	6	7	2	1			80	2		3					2	1			80	2		3			4600	4
	2000	12	15	16	44	47.6			"TURKEY:  AFYON-BOLVADIN"	38.457	31.351	10	6	7	6	1			41	1		1					6	1			41	1		1				2
	2001	6	25	13	28	46.5			"TURKEY:  OSMANIYE"	37.238	36.206	5	5.5						130	3		1									130	3		1			66	2
	2002	2	3	7	11	28.4			"TURKEY:  AFYON"	38.573	31.271	5	6.5		44	1			318	3		2					44	1			318	3		2			622	3
	2003	1	27	5	26	23			"TURKEY:  SAGLAMTAS, PULUMUR"	39.5	39.878	10	6.1		1	1				2		1					1	1				2		1				2
	2003	4	10	0	40	15.1			"TURKEY:  IZMIR, SEFERIHISAR"	38.221	26.958	10	5.7						90	2		2		2		2					90	2		2		2		2
	2003	5	1	0	27	4.7			"TURKEY:  BINGOL"	39.007	40.464	10	6.4		177	3			521	3		3	718	3	718	3	177	3			521	3		3	718	3	2593	4
	2003	7	26	1	0	57.6			"TURKEY:  WESTERN:  BULDAN"	38.111	28.887	10	4.5							2		1										2		1			48	1
	2003	7	26	8	36	49.1			"TURKEY:  WESTERN:  BULDAN"	38.019	28.927	10	5.4						10	1		1	1	1	1	1					10	1		1	1	1		1
	2004	3	25	19	30	49			"TURKEY:  ERZURUM"	39.93	40.812		5.6		10	1			46	1		1	45	1	45	1	10	1			46	1		1	45	1		
	2004	3	28	3	51	10			"TURKEY:  ASKALE"	39.847	40.874	5	5.6						12	1		1	50	1	50	1					12	1		1	50	1		
	2004	7	1	22	30	9.3			"TURKEY:  DOGUBEYAZIT"	39.766	43.979	5	5.1		18	1			21	1							18	1			21	1						
	2004	7	30	7	14	7.8			"TURKEY:  DOGUBEYAZIT"	39.634	43.966	5	4		1	1			5	1		1					1	1			5	1		1				2
	2004	8	4	3	1	7.5			"TURKEY:  BODRUM"	36.833	27.815	10	5.6						15	1											15	1						
	2004	8	11	15	48	26.8			"TURKEY:  ELAZIG, SIVRICE"	38.377	39.261	7	5.7		1	1			11	1		1					1	1			11	1		1				
	2004	12	20	23	2	12.4			"TURKEY:  MARMARIS"	37.042	28.206	5	5.4						3	1		1									3	1		1				
	2005	1	25	16	44	16.1			"TURKEY:  HAKKARI"	37.622	43.703	41	5.9		2	1			22	1		1					2	1			22	1		1				
	2005	3	12	7	36	12.1			"TURKEY:  CAT, KARLIOVA"	39.44	40.978	11	5.6						16	1		2									16	1		2				
	2005	3	14	1	55	55.6			"TURKEY:  EASTERN:  BINGOL PROVINCE"	39.354	40.89	5	5.8						18	1		3		2		2					18	1		3		2		
	2005	7	30	21	45	0			"TURKEY:  BAHCEKARADALAK, SIRAPINAR, YENIYAPANSEYHLI"	39.437	33.089	5	5.3									1												1				
	2005	10	20	21	40	4			"TURKEY:  IZMIR"	38.152	26.751	10	5.9		1	1			15	1		1		2		2	1	1			15	1		1		2		
	2005	11	26	15	56	55			"TURKEY:  DOGANYOL"	38.26	38.814	9	4.4									1												1				
	2005	12	24	3	56	7.3			"TURKEY:  AKHISAR"	38.804	26.783	14	4.3									1												1				
	2006	6	3	11	7	45			"TURKEY:  HAKKARI"	37.605	43.787	10	4.1									1												1				
	2007	1	21	7	38	57			"TURKEY:  E"	39.592	42.863	3	5.1						2	1		1									2	1		1				
	2007	2	21	11	5	29.2			"TURKEY:  DOGANKOY, PUTURGE, SIVRICE"	38.318	39.267	10	5.7									1		1		1								1		1		
	2007	12	20	9	48	29.9			"TURKEY:  CENTRAL:  YENIYAPAN, ABAZLAR, SUYUGUZEL"	39.417	33.212	10	5.7									1		1		1								1		1		
	2007	12	26	23	47	10.7			"TURKEY:  CENTRAL:  ANKARA"	39.446	33.162	8	5.6									3	2214	4	2214	4								3	2214	4		
	2008	9	3	2	22	47			"TURKEY:  ADIYAMAN"	37.507	38.503	6	4.1									1												1				
	2010	3	8	2	32	34.7			"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI"	38.864	39.986	12	6.1		51	2			100	2		2	287	3	287	3	51	2			100	2		2	287	3	700	3
	2011	5	19	21	12	51			"TURKEY:  SIMAV"	39.12	29.04	7	4.3		2	1			125	3		1				2	2	1			125	3		1				2
	2011	10	23	10	41	22.9			"TURKEY:  ERCIS, VAN"	38.722	43.513	16	7.1		604	3			2608	4	1500	4	5739	4	4882	4	604	3			2608	4	1500	4	5739	4	4882	4
	2011	11	9	19	23	33.2			"TURKEY:  VAN"	38.429	43.229	5	5.7		40	1						1		1			40	1						1		1		
	2012	6	10	12	44	16.5			"TURKEY:  FETHIYE; GREECE:  RHODES"	36.42	28.88	35	6.1						6	1		1				2					6	1		1				2
	2012	6	14	5	52	53.6			"TURKEY:  SIRNAK"	37.294	42.325	5	5.3						23	1		1			25	1					23	1		1			25	1
	2017	2	6	3	51	40.6			"TURKEY:  CANAKKALE"	39.599	26.065	10	5.3	4					5	1		2			90	2					5	1		2			90	2
	2017	5	28	11	4	59.4			"TURKEY: MANISA: SARUHANLI, GOLMARMARA"	38.764	27.778	3	4.9	5								2			35	1								2			35	1
	2017	7	20	22	31	11.3	5655		"TURKEY: BODRUM, DATCA; GREECE: KOS"	36.929	27.414	7	6.6	7	2	1			500	3		2		1		1	2	1			500	3		2		1		1
	2018	4	24	0	34	31.2			"TURKEY:  ADIYAMAN"	37.596	38.514	10	5.2	7					39	1		1				1					39	1		1				1
	2019	8	8	11	25	31			"TURKEY:  DENIZLI"	37.948	29.697	10	5.8							1		2			976	3						1		2			976	3
	2019	9	26	10	59	26			"TURKEY:  ISTANBUL"	40.89	28.173	10	5.7		1	1			34	1		2			473	3	1	1			34	1		2			473	3
	2020	1	24	17	55	14			"TURKEY:  ELAZIG AND MALATYA PROVINCES"	38.39	39.081	12	6.7		41	1			1600	4		4	76	2		4	41	1			1600	4		4	76	2		4
	2020	6	14	14	24	29			"TURKEY:  BINGOL"	39.421	40.697	10	5.9		1	1			35	1		2				1	1	1			35	1		2				1
	2020	6	25	10	3	31			"TURKEY:  VAN"	38.558	44.023	10	5.4						5	1		2			90	2					5	1		2			90	2
	2020	10	30	11	51	27	5757		"GREECE:  SAMOS; TURKEY:  IZMIR"	37.918	26.79	21	7	8	117	3			1054	4	400	4		4		4	118	3			1054	4	400	4		4		4
	2023	2	6	1	17	35	5873		"TURKEY: KAHRAMANMARAS; SYRIA"	37.166	37.042	17	7.8	9	56697	4			119200	4	42900	4	542461	4	1474182	4	56697	4			119200	4	42900	4	542461	4	1474182	4
	2023	2	6	10	24	49	5974		"TURKEY; SYRIA"	38.024	37.203	10	7.5	9																								
	2023	2	20	17	4	29	5973		"TURKEY; SYRIA"	36.109	36.017	16	6.3	9	6	1			764	3							6	1			764	3						
	2023	2	27	9	4	51			"TURKEY: MALATYA;  SYRIA: NW"	38.229	38.283	10	5.2	7	2	1			260	3		2	31	1			2				260	3		2	31	1		
	2024	3	4	18	38	56			"TURKEY:  BURSA"	39.97	27.446	15	4.3		1	1											1	1										
	2024	4	18	15	11	25			"TURKEY: ANATOLIA"	39.989	35.945	16	5.6	7					5	1		3			338	3					5	1		3			338	3
	2024	10	16	7	46	32			"TURKEY:  ELAZIG AND MALATYA PROVINCES"	38.309	38.826	10	6						43	1		2	23	1	535	3					43	1		2	23	1	535	3
